Position,Source_ID,E_peak,Beta,Log_E_peak,Log_Beta,ANN_Prob_Mean,ANN_Prob_Std,OCSVM_Anomaly_Rank,OCSVM_Prediction,OCSVM_Anomaly_Score,OCSVM_Log_E_peak,OCSVM_Log_Beta
0,664,1.4958,0.4329,0.174873528887417,-0.3636124141868433,0.5232199666252965,0.0273048213440727,53.07511880160166,1,-0.021554079946414673,0.4001752063353898,-1.0472075569559078
1,1114,1.2945,0.328,0.1121020547708908,-0.4841261562883209,0.5076883742308155,0.0337779667168693,31.051807661162,1,-0.04886444869856699,0.1697331979425178,-0.3805935891132226
2,551,1.2094,0.2911,0.0825699642699229,-0.5359577945611892,0.4952523165547835,0.0268987640185895,37.30707725101174,1,-0.041107498889633276,0.2031417191119856,-0.1685781829349778
3,101,0.025961,0.1263,-1.5856785828224609,-0.8985966494446692,0.4911648279893089,0.0284110533346158,35.512091633651664,1,-0.04333340029030408,-0.0310736437310292,-0.5573634742177682
4,663,0.064547,0.0851,-1.1901239379633672,-1.0700704399154122,0.4791639923083493,0.0238993148878936,40.054883962103986,1,-0.0377000360398817,-0.351835221425999,-0.4939010400715595
5,96,8.2624,0.112,0.9171062162503074,-0.9507819773298184,0.4753465085420965,0.0220915278096477,52.19442673264418,1,-0.02264619661347478,-0.2886230620813831,-0.9871627752948278
6,138,0.045933,0.0652,-1.3378751887885325,-1.1857524042680798,0.4702320592187117,0.018562295567073,62.33503961099436,1,-0.010071163035892616,-1.2538018710084495,-0.6865546295735858
7,1113,8.8902,0.0542,0.9489115312648544,-1.2660007134616131,0.4646473512488977,0.0180863000330622,48.44004857629282,1,-0.027301874918664204,-0.4396270280587342,-0.8195873671616762
8,560,1.4393,0.3499,0.1581513253927027,-0.4560560575170935,0.4616756191589958,0.0156748430095384,39.466508162220975,1,-0.038429661115656155,-0.2856534724517532,-0.3563499617826708
9,127,0.048244,0.138,-1.3165566912097522,-0.8601209135987634,0.4587399203629336,0.0159656595921397,42.403800292230585,1,-0.03478722375953769,-0.396931446001918,-0.6085355881608968
10,648,1.2581,0.3196,0.0997151623510236,-0.4953932293580462,0.4575439620475715,0.0150543671083147,56.013442965632414,1,-0.01791036279955527,-1.172908712661239,-1.1243600629958317
11,86,0.27256,0.131,-0.564537879440179,-0.8827287043442357,0.4566299643739598,0.0158387401359646,45.34142883873302,1,-0.03114436922462105,-0.0917187720181673,-1.7619538968712043
12,208,0.68164,0.3424,-0.1664449322238082,-0.4654662439948844,0.4539603812776352,0.0164678425568979,37.917486545159626,1,-0.040350550817355946,0.5002090217151078,-0.7011469235902933
13,588,2.372,0.3542,0.375114684692225,-0.450751443145944,0.4523675244908431,0.0170323610297647,29.634300225710454,1,-0.05062225207900484,-1.2188624087595714,-2.1249387366083
14,33,10.804,0.3954,1.0335845755154134,-0.4029633350223465,0.4509788833530471,0.0167543242576021,35.357912816425895,1,-0.04352459226526895,0.1473671077937864,-0.2185318571582016
15,194,11.639,0.9984,1.065915668188592,-0.0006954276616512,0.449036790896379,0.0156664667892947,49.41811567015596,1,-0.026089006752410104,0.8372600682972373,-0.9190129530891128
16,180,1.8223,0.3778,0.2606198751723718,-0.4227380464141851,0.4471951367154406,0.0157137428671397,39.58644766153661,1,-0.03828092816930806,-0.0578480332252178,-0.679853713888946
17,222,0.099202,0.1015,-1.0034795719969505,-0.9935339577507682,0.4464670665198301,0.0156377588776709,60.51900251973758,1,-0.012323169662577294,2.018076063645795,-1.3142582613977365
18,546,1.2265,0.5375,0.0886675525424044,-0.269621531412357,0.4453699812662302,0.0152750616454009,52.73154189499111,1,-0.021980138133325,-1.5738792912533843,-1.2211255279972604
19,110,0.34322,0.3537,-0.4644274130244902,-0.4513649401852484,0.4439039647626777,0.0149230727644174,32.1962169271773,1,-0.047445305189266596,0.2308574768946725,-0.2731098592581784
20,133,0.090608,0.1285,-1.042833455717546,-0.8910968723326866,0.4422398348243292,0.0146027139602884,0.0,1,-0.08737075287051599,-3.658150175915248,-1.7958800173440752
21,552,0.60684,0.239,-0.2169258003198306,-0.6216020990518624,0.4416329609529552,0.0145513300641645,58.241593013657436,1,-0.015147308731134457,0.8430707441941182,-1.3062730510763532
22,199,0.85847,0.3025,-0.066274877045996,-0.5192746210115123,0.4406254295808331,0.0152897888166071,30.699357365226433,1,-0.04930151047767117,0.2005221918021129,-0.3998987443086093
23,1038,1.8871,0.719,0.275794914631003,-0.1432711096171174,0.4399793532100635,0.0155898144822383,40.068911569133945,1,-0.037682640875355555,-0.2322951171260335,-0.6263525277907822
24,59,1.8193,0.5178,0.2599043195152694,-0.2858379539011467,0.4390207473883107,0.0154272338438166,34.63016760037108,1,-0.04442704467496028,1.0466122090684455,-0.2871819997921499
25,102,0.17789,0.2687,-0.7498484648833882,-0.5707323335668315,0.4375539218690317,0.0156449071044584,50.2641289466942,1,-0.02503989409155094,1.6765930245187537,-0.4313290219901032
