ANN_Position,Source_ID,ANN_E_peak,ANN_Beta,ANN_Sigma_det,ANN_Beta_Rel,ANN_Log_E_peak,ANN_Log_Beta,ANN_Log_Sigma_det,ANN_Log_Beta_Rel,ANN_Prob_Mean,ANN_Prob_Std,OCSVM_Anomaly_Rank,OCSVM_Prediction,OCSVM_Anomaly_Score,OCSVM_Log_E_peak,OCSVM_Log_Beta,OCSVM_Log_sigma_det,OCSVM_Log_beta_Rel
0,371,13.855,0.2306,5.0215,0.9991326973113616,1.1416065301182503,-0.6371406970413198,0.7008334670285428,-0.0003768282075057,0.7846216745751272,0.0186498983314697,14.799261419146276,1,-0.1807774903920436,0.4001752063353898,-1.0472075569559078,0.8692082437190836,0.2124518830812188
1,821,1.5437,0.6922,9.8576,0.3111817393816816,0.1885629041579057,-0.159768405041891,0.9937711914493343,-0.5069858959961462,0.7434403997117687,0.0511811209380916,45.93803256474394,1,-0.09548694321997797,0.1697331979425178,-0.3805935891132226,0.7335984609613392,-0.1130366937912733
2,596,1.2712,0.4036,19.3727,0.2309217046580773,0.1042138841993231,-0.394048842435127,1.2871901531602177,-0.6365352452108916,0.6715245831350306,0.0350043871704382,41.302476868330736,1,-0.10818394657778596,0.2031417191119856,-0.1685781829349778,1.03305766792049,-0.4303660912931784
3,556,0.07633,0.0593,4.2719,1.4873524451939293,-1.1173047376184029,-1.2269453066357374,0.6306210778321802,0.1724138917675571,0.6622837179704573,0.0316986386291769,28.093559158867784,1,-0.1443637885414647,-0.0310736437310292,-0.5573634742177682,0.8811334809019066,-0.2015883751105874
4,106,13.893,0.1439,11.8161,0.6108408617095206,1.1427960357135558,-0.8419392060633948,1.0724741577663524,-0.2140719188628332,0.6245431302768417,0.0306494204046945,42.27363340218788,1,-0.10552390351522878,-0.351835221425999,-0.4939010400715595,0.6309158007184064,-0.2460275719433657
5,172,0.13411,0.2563,5.5749,1.1498244245025362,-0.8725388374884626,-0.5912513938157561,0.7462370816147819,0.0606315296656811,0.6165145560684674,0.0252978296310823,21.73162901664189,1,-0.1617894120628225,-0.2886230620813831,-0.9871627752948278,0.682902850162524,0.047482803983113
6,29,6.1427,0.7739,5.4138,0.3990179609768704,0.788359305564385,-0.111315153340301,0.7335022077513035,-0.3990075549960003,0.5968582043790961,0.0141376273658674,35.11516909235825,1,-0.1251312712897079,-1.2538018710084495,-0.6865546295735858,0.7395723444500919,-0.0871032832627834
7,560,1.4393,0.3499,13.1306,0.3046584738496713,0.1581513253927027,-0.4560560575170935,1.1182845715377316,-0.516186737792353,0.5853702758550573,0.0066450794015069,21.099279472995704,1,-0.1635214469697046,-0.4396270280587342,-0.8195873671616762,0.835189417281201,-0.0542812255763393
8,781,1.0893,0.5408,6.4758,0.4262204142011835,0.0371475036325547,-0.2669633170664205,0.8112934274442682,-0.3703657532079125,0.5788804613452152,0.0097065410006212,33.26494141676077,1,-0.13019913122890525,-0.2856534724517532,-0.3563499617826708,0.9521868168381482,-0.4106539278251752
9,622,0.33105,0.237,4.4419,0.8616033755274262,-0.4801064077826637,-0.6252516539898961,0.6475687770992071,-0.0646926082592124,0.5733057790624602,0.0108583423473763,37.79776939055661,1,-0.1177835038968501,-0.396931446001918,-0.6085355881608968,0.6505503492394106,-0.112253899237708
10,110,0.34322,0.3537,4.2845,0.5552728300819904,-0.4644274130244902,-0.4513649401852484,0.6319001471668083,-0.2554935763638207,0.5668166455876791,0.0115441058520221,12.518177772879426,1,-0.18702548493960158,-1.172908712661239,-1.1243600629958317,0.9308930224060254,-0.0081724491451168
