#4FGL LogParabola unIDs
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.0897    0.1463   2.5129e+00       7.3996    0.621       J0000.3-7355
 0.4163    0.3209   1.4782e+00       5.4150    2.151       J0003.3+2511
 0.6783    0.2518   1.5964e+00      10.7909    4.497       J0003.6+3059
 0.2771    0.1742   9.3095e-01       7.6056    2.323       J0004.0+5715
-0.0270    0.0687   3.9780e+03       6.4159    0.357       J0004.4-4001
 0.3207    0.1820   4.4480e-01       4.2748    2.716       J0005.6+6746
-0.0501    0.0489   2.7644e+02       6.3606    0.894       J0006.6+4618
 0.1030    0.1149   5.1449e-01       4.8184    1.060       J0008.4+6926
 0.2058    0.1684   5.5744e-02       5.4900    1.523       J0008.9+2509
 0.1515    0.1337   3.6339e-01       6.8421    1.389       J0009.1-5012
 0.4402    0.1710   5.1802e-01       8.9575    4.549       J0009.2+6847
 0.2463    0.1902   4.0093e-01       4.4725    1.724       J0009.2+1745
 0.0751    0.0737   6.7157e-02       8.5289    1.142       J0009.7-1418
-0.0577    0.0638   7.4258e+02       6.1217    0.757       J0017.1-4605
-0.0058    0.0467   1.2038e+20      12.4479    0.118       J0022.0-5921
-0.0311    0.0624   3.9363e+00       4.9723    0.445       J0023.6-4209
 0.0173    0.0741   8.0962e-01       7.3434    0.249       J0024.1+2402
 0.1990    0.1631   3.1638e+00       7.0517    1.319       J0025.4-4838
 0.0075    0.0976   6.0414e-02       5.3969    0.077       J0026.1-0732
 0.6046    0.3224   1.4040e+00       6.3435    2.916       J0031.0-2327
 0.1205    0.1262   6.8748e+00       5.3665    1.191       J0031.5-5648
 0.2090    0.1045   8.7529e-01       8.7518    2.655       J0034.6+6438
 0.0485    0.1165   1.0425e+02       5.3962    0.454       J0035.2-1739
 0.0601    0.1295   2.6676e-02       4.2883    0.447       J0037.2-2653
 0.5332    0.1098   1.7016e+00      21.1933    7.385       J0039.1+6257
 0.0160    0.0982   2.1971e-04       4.9956    0.199       J0039.7+4203
 0.0494    0.0864   6.9674e+00       6.8904    0.638       J0045.9-2021
-0.0161    0.0741   4.1589e+01       4.5193    0.197       J0046.7-7048
 0.3982    0.1441   1.5868e+00      14.4809    4.424       J0048.6-6347
 0.2364    0.1687   5.8574e-01       7.0286    2.450       J0052.1+6444
 0.5162    0.3434   1.1133e+01       4.2920    2.301       J0055.7+4507
 0.0003    0.0712   0.0000e+00       4.2955    0.000       J0057.5+6814
 0.3704    0.1721   4.7489e+01       7.3768    2.065       J0057.9+6326
 0.0330    0.0784   4.1469e-04       4.8986    0.439       J0058.1+6915
-0.0593    0.0737   1.3138e+01       4.5669    0.642       J0058.3-4603
 0.2373    0.0803   3.0009e-01      13.9413    4.085       J0059.4-5654
