#4FGL LogParabola blazars (bll+BLL)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.0473    0.0357   3.8681e-01      22.7484    1.480       J0001.2-0747
 0.9996    0.0250   5.1067e+00       4.1992    1.726       J0003.2+2207
 0.2623    0.1281   1.6778e+00      10.2339    2.819       J0003.9-1149
 0.2742    0.2507   1.8085e+00       4.1249    1.444       J0006.3-0620
 0.0794    0.0235   2.1189e+00      42.1630    3.848       J0008.0+4711
 0.1628    0.1087   2.9950e+01      10.5199    1.856       J0008.4-2339
 0.0451    0.0489   7.1613e-01      13.0524    1.013       J0009.1+0628
 0.0698    0.0158   3.0398e+00      54.2284    4.864       J0009.3+5030
-0.0408    0.0481   2.0332e+01       9.7892    0.734       J0009.8-4317
 0.0745    0.0594   2.2231e+00      16.9058    1.482       J0013.1-3955
 0.0823    0.0744   5.5261e+00      11.5090    1.247       J0013.9-1854
 0.3499    0.1954   1.3315e+00       6.2304    2.688       J0014.1+1910
 0.1357    0.0963   4.1432e+00      10.1767    1.791       J0014.1-5022
-0.0477    0.0661   2.8930e+02       4.5348    0.592       J0014.2+0854
 0.1579    0.1020   3.2258e+01       9.2606    1.939       J0014.7+5801
-0.0568    0.0593   9.9327e+00       5.3998    0.783       J0015.2+3537
-0.0294    0.0442   2.0804e+00      10.6818    0.574       J0015.6+5551
 0.2039    0.2029   1.5679e+00       7.4619    1.640       J0017.8+1455
 0.1361    0.0774   2.7787e+01      12.0041    2.029       J0018.4+2946
 0.0187    0.0452   2.5539e-01      15.8279    0.417       J0019.3-8152
 0.1502    0.1058   1.1830e+00       9.6009    1.847       J0019.6+2022
 0.0389    0.0353   5.9182e-01      21.2039    1.195       J0021.5-2552
 0.2469    0.2563   9.1975e-01       4.7427    1.488       J0021.6-0855
 0.0368    0.0333   1.5869e+00      22.8719    1.191       J0021.9-5140
-0.0621    0.0521   3.3748e-01       7.3585    0.980       J0022.0+0006
 0.0971    0.0393   4.8212e+00      25.4785    2.933       J0022.1-1854
 0.0326    0.0198   1.3078e-01      41.9483    1.784       J0022.5+0608
 0.2677    0.1717   2.8773e+00       8.4237    2.449       J0023.9+1603
-0.0272    0.0523   3.3286e+00       9.6780    0.463       J0026.6-4600
 0.0471    0.0441   2.0888e-01      18.7394    1.180       J0029.0-7044
 0.1455    0.0726   1.6831e+01      13.6511    2.455       J0030.2-1647
-0.0469    0.0742   6.6892e+00       7.5488    0.504       J0031.3+0726
 0.0853    0.1021   2.9699e-01       7.5994    0.964       J0032.4-2849
 0.0664    0.0142   2.2982e+01      62.0837    5.355       J0033.5-1921
 0.0631    0.0282   1.7360e+01      29.3963    2.530       J0035.2+1514
 0.0511    0.0125   9.3089e+01      61.3066    4.063       J0035.9+5950
-0.0065    0.0284   3.4383e+06      18.1056    0.211       J0037.8+1239
 0.0063    0.0440   2.2599e-01      13.1049    0.154       J0038.1+0012
-0.1003    0.0278   6.1995e+00       8.0121    2.463       J0040.3+4050
 0.2214    0.1450   1.7233e+00       7.8737    2.145       J0040.4-2340
 0.0458    0.1086   6.0208e-01       5.7159    0.460       J0042.0+3640
-0.0051    0.0735   4.4660e-02       7.2559    0.075       J0043.5-0442
 0.1743    0.1281   5.9411e+00       8.5419    1.781       J0043.7-1116
 0.0714    0.0222   2.1597e+01      43.4810    3.681       J0045.3+2128
 0.0086    0.0268   4.2329e+00      23.9245    0.329       J0045.7+1217
 0.1146    0.0451   1.5226e+00      20.3212    2.975       J0047.0+5657
 0.0241    0.0296   5.2861e+00      22.6431    0.839       J0047.9+3947
 0.0292    0.0930   6.7198e-02       6.0214    0.304       J0049.0+2252
 0.0512    0.0290   1.4040e-01      28.8255    1.966       J0049.7+0237
 0.0708    0.0145   1.4019e+00      66.4131    5.610       J0050.7-0929
 0.1100    0.0245   2.2550e+01      44.7746    5.547       J0051.2-6242
 0.0916    0.0339   2.3202e+01      26.8268    3.162       J0054.7-2455
 0.0035    0.0302   6.3586e+08      20.4210    0.107       J0056.3-0935
 0.1224    0.0417   4.5815e+00      23.0147    3.573       J0056.4-2118
 0.1317    0.1977   2.1966e+00       5.8077    0.930       J0056.8+1626
 0.1121    0.0297   1.0283e+00      38.2843    4.644       J0058.0-3233
 0.1609    0.1265   1.8580e+01       8.8410    1.566       J0059.3-0152
 0.2628    0.1948   4.5117e+00       8.0814    1.699       J0059.5-3512
 0.1610    0.0374   4.5505e+00      35.8291    5.463       J0100.3+0745
-0.0303    0.0797   2.0049e+03       5.1925    0.353       J0101.0-0059
-0.0449    0.0609   1.6230e+02       5.0368    0.639       J0103.5+1526
 0.1192    0.0545   1.8298e+01      17.1153    2.654       J0103.5+5337
 0.0320    0.0697   2.3241e-01      10.4057    0.470       J0103.8+1321
 0.0804    0.0501   2.6607e-01      17.1195    1.830       J0105.1+3929
 0.0639    0.0440   1.7391e+00      18.3780    1.670       J0109.1+1815
 0.0979    0.0898   2.0665e+01       9.3708    1.239       J0110.0-4019
 0.0078    0.0160   6.7464e+00      38.4520    0.474       J0110.1+6805
-0.0233    0.0445   2.6721e+00       8.3514    0.482       J0110.7-1254
 0.0963    0.1611   7.9509e+00       5.8059    0.631       J0111.4+0534
 0.0569    0.0083   8.3381e-01     111.4148    7.753       J0112.1+2245
 0.4077    0.1868   5.3478e+00      11.8739    3.402       J0112.8-7506
-0.0308    0.1067   1.0468e+04       6.2371    0.254       J0113.7+0225
 0.0137    0.0235   2.3144e-01      28.7348    0.594       J0114.8+1326
 0.0068    0.0933   6.6390e+14       8.4466    0.064       J0114.9-3400
 0.0874    0.0386   1.5594e+00      29.6135    2.696       J0115.6+0356
-0.0145    0.0215   1.8975e+00      26.7487    0.631       J0115.8+2519
