#4FGL LogParabola frsqs (fsrq+FSRQ)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.1480    0.0315   4.9994e-02      30.6660    5.553       J0001.5+2113
 0.0776    0.0532   8.5172e-02      19.2054    1.669       J0004.4-4737
 0.1549    0.0672   7.0951e-02      14.6598    2.831       J0005.9+3824
 0.2112    0.1850   9.2266e-01       4.5518    1.511       J0010.6+2043
 0.1036    0.0707   1.3864e-01      13.2261    1.750       J0010.6-3025
 0.0554    0.0649   1.0916e-01      13.4173    0.937       J0011.4+0057
-0.0890    0.0519   1.3244e+01       5.0502    1.064       J0013.6-0424
 0.1865    0.0569   7.5749e-02      20.6405    4.122       J0016.2-0016
 0.4482    0.2650   4.1950e-01       5.7312    2.608       J0016.5+1702
 0.1107    0.0398   6.6152e-02      23.1480    3.341       J0017.5-0514
 0.0798    0.0344   2.8025e-02      21.9335    2.657       J0019.6+7327
 0.0991    0.0596   1.2389e-01      13.3864    1.970       J0023.7+4457
 0.1026    0.1195   2.4175e-01       6.0540    0.987       J0024.7+0349
-0.0184    0.0792   7.2096e+04       4.5510    0.197       J0025.2-2231
 0.0541    0.0529   1.8274e-02      13.5476    1.145       J0028.4+2001
 0.0631    0.0248   1.1421e-02      35.2962    2.854       J0030.3-4224
 0.0401    0.1129   3.1548e-02       5.0902    0.355       J0037.6+3653
 0.2149    0.1021   4.9209e-01      10.4859    2.722       J0038.2-2459
 0.1168    0.0902   3.0940e-02      10.3547    1.542       J0039.0-0946
-0.0716    0.0464   4.7287e+00       6.7733    1.184       J0041.4+3800
 0.1551    0.0919   7.3842e-01      12.9972    2.215       J0042.2+2319
 0.0496    0.0155   5.3687e+00      51.2272    3.558       J0043.8+3425
-0.0231    0.0626   7.7833e+05       7.0204    0.319       J0044.2-8424
 0.0134    0.0394   2.7095e-09      10.8267    0.371       J0047.9+2233
-0.0269    0.0356   6.0685e+04      15.2054    0.671       J0050.0-5736
 0.0486    0.0304   1.8896e-02      27.0814    1.763       J0050.4-0452
 0.1621    0.0484   4.1806e-01      22.7709    4.159       J0051.1-0648
 0.2722    0.1358   1.0461e-01       6.7318    2.696       J0051.5-4220
 0.0028    0.0405   1.0441e-36      12.8551    0.086       J0058.0-0539
 0.0339    0.0841   1.0013e-02       7.9793    0.399       J0058.4+3315
 0.0133    0.1021   3.0493e-06       5.8568    0.116       J0059.2+0006
-0.0488    0.0722   4.0074e+03       5.3214    0.532       J0101.8-7543
 0.1275    0.0613   3.8087e-02      15.9599    2.454       J0102.4+4214
 0.0717    0.0140   2.0670e-01      58.6357    5.697       J0102.8+5824
 0.1126    0.0606   4.3105e-02      16.3430    2.161       J0104.8-2416
 0.0853    0.1076   2.0069e-02       7.2449    0.919       J0108.1-0039
 0.0975    0.0082   1.2162e-01     143.1100   13.961       J0108.6+0134
 0.1621    0.0296   1.3772e-01      34.7413    6.993       J0109.7+6133
 0.0892    0.0692   1.0993e-02       9.9301    1.446       J0112.0-6634
 0.1547    0.1058   2.9393e-01       7.5575    1.840       J0112.1-0321
 0.0499    0.0152   2.3085e-02      58.1807    3.563       J0112.8+3208
 0.1129    0.0803   2.0761e-01      11.1414    1.642       J0113.1-3553
 0.0680    0.0323   3.5222e-01      24.4709    2.366       J0113.4+4948
 0.1250    0.1357   3.2868e-02       9.0966    1.336       J0115.1-0129
 0.0422    0.0277   9.0304e-03      28.4282    1.686       J0116.0-1136
 0.1847    0.1784   1.4821e-01       5.4039    1.247       J0116.5-3046
 0.1106    0.0523   2.8220e-01      18.9261    2.700       J0117.8-2109
 0.1058    0.0187   3.2351e-01      53.6369    7.054       J0118.9-2141
 0.0650    0.0931   1.4467e-04       8.0842    0.740       J0125.7-0015
 0.1190    0.0650   7.1367e-02      15.1675    2.228       J0126.0-2221
 0.2460    0.1761   3.2277e+00       4.8808    1.929       J0128.5+4440
 0.0999    0.0958   1.1774e-02       8.9116    1.213       J0129.8+1440
 0.0620    0.0187   3.1674e-02      50.2573    3.678       J0132.7-1654
 0.1583    0.1207   3.7986e-01       7.7761    1.590       J0134.3-3842
 0.0350    0.0375   1.0397e+01      21.9963    0.961       J0134.5+2637
 0.0981    0.0139   2.5466e-01      74.6355    8.296       J0137.0+4751
 0.1130    0.0268   6.7034e-02      41.4568    4.890       J0137.6-2430
 0.0935    0.0345   2.5512e-02      30.7855    3.059       J0145.0-2732
 0.1068    0.0560   2.1763e-02      13.6952    2.149       J0152.2+2206
 0.2451    0.0881   4.9243e-01      20.1419    4.234       J0157.7-4614
