#4FGL LogParabola pulsars (psr+PSR)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.4286    0.0650   8.9095e-01      27.6687    9.682       J0002.8+6217
 0.2732    0.0056   1.8747e+00     329.0935   65.920       J0007.0+7303
 0.4476    0.0949   1.1316e+00      22.6444    7.100       J0023.4+0920
 0.3886    0.0203   1.1023e+00     120.3905   29.022       J0030.4+0451
 0.2292    0.0308   7.4756e-01      51.4146    9.903       J0034.3-0534
 0.4008    0.0465   1.1857e+00      50.4295   13.109       J0101.1-6422
 0.2711    0.0368   1.2051e+00      35.4767    9.096       J0102.8+4839
 0.4711    0.0393   1.9981e+00      48.7480   14.396       J0106.4+4855
 0.1566    0.0134   2.4460e-01      66.2740   10.747       J0205.7+6449
 0.1694    0.0200   3.8890e-01      73.4968   11.855       J0218.1+4232
 0.5137    0.0312   7.6903e-01      31.2736    8.686       J0248.4+6021
 0.9301    0.2205   1.9062e+00      10.4926    4.804       J0248.6+4230
 0.6851    0.1740   1.4616e+00      17.5521    7.253       J0251.0+2605
 0.6250    0.0335   1.3845e+00      44.5406   16.455       J0307.8+7443
 0.4637    0.0795   1.5052e+00      22.2735    6.511       J0318.2+0254
 0.4274    0.0333   2.2572e+00      49.0358   14.477       J0340.3+4130
 0.5722    0.0257   7.2322e-01     104.1567   34.396       J0357.8+3204
 0.4502    0.0390   1.1124e+00      28.0611   10.933       J0359.4+5414
 0.5741    0.0508   6.7669e-01      56.7911   17.189       J0437.2-4715
 0.8059    0.0759   6.0397e-01      20.4570    8.656       J0514.6-4408
 0.3545    0.0599   2.1600e+00      33.5871    9.148       J0533.8+6800
 0.2042    0.0122   8.2602e-01      35.6077   34.109       J0534.5+2200
 0.1408    0.0293   1.8471e-01      21.6738    5.872       J0540.3-6920
 0.5796    0.0460   1.1137e+00      36.9641   13.310       J0554.1+3107
 0.7163    0.1273   1.6196e+00      21.1901    9.591       J0605.1+3757
 0.4416    0.0661   1.1509e+00      22.5153    7.477       J0610.2-2100
 0.2966    0.0245   1.0273e+00      58.0818   14.584       J0613.7-0201
 0.2967    0.0117   2.1265e+00     175.5138   36.895       J0614.1-3329
 1.0000    0.0048   2.5077e+00      12.5592    7.367       J0621.2+2512
 0.8202    0.0849   7.3352e-01      33.1994   16.818       J0622.2+3749
 0.3523    0.0340   1.5525e+00      38.7313   12.503       J0631.5+1036
 0.5248    0.0712   2.4343e+00      24.4266    8.174       J0631.8+0645
 0.3775    0.0244   1.1814e+00      76.9274   23.962       J0633.7+0632
 0.3728    0.0027   1.2597e+00     792.6913  210.443       J0633.9+1746
 0.4776    0.0255   1.6413e-01      36.6818   12.615       J0659.7+1416
 0.1743    0.1396   2.6489e-01       5.1466    1.695       J0729.3-1445
 0.2764    0.0226   6.3142e-01      51.7429   13.627       J0734.7-1559
 0.3786    0.0726   1.3009e+00      16.4337    4.869       J0741.0+6618
 0.3185    0.0361   8.2835e-01      20.8102    6.537       J0742.8-2822
 0.6973    0.0987   2.1290e+00      31.5069   12.333       J0751.2+1808
 0.3160    0.0002   1.1023e+00     496.1393  211.325       J0835.3-4510
