# unid_id mean_proba
1010 0.517095
960 0.491664
1100 0.472184
750 0.466355
750 0.464365
255 0.459935
330 0.459907
815 0.454057
145 0.451810
1020 0.450233
960 0.449287
960 0.449218
1100 0.447361
955 0.445915
960 0.445714
960 0.443404
860 0.440854
205 0.438808
1100 0.438057
675 0.437753
1095 0.435233
750 0.435156
865 0.434683
1100 0.434618
670 0.433301
335 0.433152
990 0.429765
750 0.428883
255 0.428133
1100 0.426545
590 0.426427
450 0.425135
670 0.424845
1005 0.424698
1015 0.424378
930 0.422930
1020 0.421236
870 0.419299
990 0.418905
330 0.418111
330 0.417442
915 0.416769
410 0.415994
815 0.414377
410 0.414370
255 0.413843
330 0.413354
670 0.412946
260 0.412843
955 0.410755
