E_peak,beta,sigma,beta_Rel,number,anomaly,anomaly_score
2.5129,0.0897,7.3996,1.6309921962095877,0,-1,-349.22559301610033
1.4782,0.4163,5.415,0.7708383377372088,1,-1,-349.2255930157711
1.5964,0.6783,10.7909,0.3712221730797582,2,-1,-349.22559301610033
0.93095,0.2771,7.6056,0.6286539155539516,3,-1,-349.22559301610033
0.4448,0.3207,4.2748,0.5675085749922045,4,-1,-349.2255171652174
0.51449,0.103,4.8184,1.1155339805825244,5,-1,-349.2255929281657
0.055744,0.2058,5.49,0.8182701652089407,6,-1,-349.2255930157896
0.36339,0.1515,6.8421,0.8825082508250827,7,-1,-349.22559301610033
0.51802,0.4402,8.9575,0.3884597910040891,8,-1,-349.22559301610033
0.40093,0.2463,4.4725,0.7722289890377589,9,-1,-349.2255853497385
0.067157,0.0751,8.5289,0.9813581890812252,10,-1,-349.22559301610033
0.80962,0.0173,7.3434,4.283236994219653,11,-1,-349.22559301610033
3.1638,0.199,7.0517,0.8195979899497486,12,-1,-349.22559301610033
0.060414,0.0075,5.3969,13.013333333333335,13,-1,-349.22559301610033
1.404,0.6046,6.3435,0.5332451207409857,14,-1,-349.22559301610033
6.8748,0.1205,5.3665,1.0473029045643154,15,-1,-349.2255930160971
0.87529,0.209,8.7518,0.5,16,-1,-349.22559301610033
104.25,0.0485,5.3962,2.402061855670103,17,-1,-349.22559301610033
0.026676,0.0601,4.2883,2.1547420965058235,18,-1,-349.2255929947791
1.7016,0.5332,21.1933,0.205926481620405,19,-1,-349.22559301610033
0.00021971,0.016,4.9956,6.137499999999999,20,-1,-349.22559301610033
6.9674,0.0494,6.8904,1.7489878542510122,21,-1,-349.22559301610033
1.5868,0.3982,14.4809,0.361878453038674,22,-1,-349.22559301610033
0.58574,0.2364,7.0286,0.7136209813874788,23,-1,-349.22559301610033
11.133,0.5162,4.292,0.6652460286710578,24,-1,-349.2255930160804
47.489,0.3704,7.3768,0.4646328293736501,25,-1,-349.22559301610033
0.00041469,0.033,4.8986,2.3757575757575755,26,-1,-349.22559301608885
0.30009,0.2373,13.9413,0.3383902233459755,27,-1,-349.22559301610033
3.9697,0.1,5.6163,1.227,28,-1,-349.22559301609886
6.1427,0.7739,5.4138,0.3990179609768704,29,-1,-349.2255930160955
6.9046,0.396,6.7401,0.6166666666666666,30,-1,-349.22559301610033
0.1408,0.0687,4.2632,2.828238719068413,31,-1,-349.2255930159516
1.2787,0.3421,5.1534,0.8050277696579946,32,-1,-349.22559301007936
10.804,0.3954,5.5429,3.982043500252909,33,-1,-349.22559301610033
0.37253,0.7563,7.5858,0.2620653179955044,34,-1,-349.22559301610033
1.9488,0.4975,4.414,0.6840201005025125,35,-1,-349.22558849883404
21.26,0.2051,4.4404,1.0185275475377864,36,-1,-349.22559301610033
0.28652,0.0864,7.8284,1.8159722222222223,37,-1,-349.22559301610033
0.23882,0.4794,8.7836,0.4549436795994994,38,-1,-349.22559301610033
0.272,0.0598,4.1455,2.3561872909698995,39,-1,-349.2255929990156
2.1891,0.6365,10.4668,0.4205813040062844,40,-1,-349.22559301610033
9.3339,0.1988,6.9161,0.7067404426559357,41,-1,-349.22559301610033
