number,prob_DM,anomaly_score,anomaly_score_norm,combined_score
717,0.88,-11.30923861023717,1.0,0.94
631,0.86,-11.30925892303923,0.8808543103659758,0.8704271551829879
763,0.86,-11.309277158932757,0.7738908247847576,0.8169454123923787
554,0.81,-11.309287797651066,0.711488925429876,0.760744462714938
533,0.87,-11.309312102285933,0.5689289539441234,0.7194644769720617
682,0.81,-11.309316551304818,0.5428330257855123,0.6764165128927562
751,0.82,-11.309331486479689,0.45523005969880614,0.637615029849403
75,0.87,-11.30936032088495,0.2861005082959309,0.5780502541479655
809,0.87,-11.309363033791366,0.2701878289663,0.57009391448315
776,0.86,-11.3093690210707,0.23506916225596797,0.5475345811279839
665,0.86,-11.309373404114794,0.20936021232046187,0.5346801061602309
265,0.91,-11.309391890848156,0.10092541396443266,0.5054627069822164
490,0.89,-11.309389167609558,0.11689869720430579,0.503449348602153
4,0.89,-11.30939020722592,0.11080077885708306,0.5004003894285416
110,0.89,-11.309391890561594,0.10092709479795303,0.4954635473989765
341,0.92,-11.309397034961826,0.07075237485696562,0.49537618742848283
941,0.89,-11.30939574993079,0.07828978444740642,0.4841448922237032
1112,0.87,-11.309392698190864,0.09618990757735446,0.48309495378867723
730,0.87,-11.309393602171909,0.09088756452547386,0.48044378226273693
327,0.86,-11.309392112789247,0.09962360811186954,0.47981180405593477
127,0.88,-11.309396022033498,0.07669375330442563,0.4783468766522128
200,0.91,-11.309401465224235,0.04476646368857473,0.4773832318442874
798,0.91,-11.309401719935218,0.043272444512695074,0.47663622225634755
986,0.89,-11.3093987326421,0.060794551885919645,0.47539727594295983
247,0.91,-11.309402635880328,0.03789992566453293,0.4739499628322665
1060,0.91,-11.30940275591178,0.0371958755858941,0.47359793779294707
159,0.87,-11.309397002767112,0.07094121446425561,0.4704706072321278
444,0.91,-11.309405334087169,0.022073467378504574,0.4660367336892523
588,0.92,-11.30940763735074,0.008563567273085937,0.464281783636543
864,0.92,-11.30940765148834,0.008480642514768988,0.4642403212573845
35,0.92,-11.309407743785806,0.007939267408801243,0.46396963370440064
989,0.87,-11.309399572444676,0.0558686506410595,0.46293432532052975
1115,0.92,-11.30940821516516,0.0051743697840720415,0.46258718489203604
1117,0.91,-11.309406611806232,0.014578946502297185,0.4622894732511486
890,0.91,-11.309406665823596,0.014262105119996704,0.46213105255999837
779,0.89,-11.309403283836954,0.03409930580528453,0.46204965290264227
60,0.89,-11.309403381192126,0.033528264495544136,0.4617641322477721
912,0.92,-11.309408504821034,0.0034753797226585448,0.4617376898613293
861,0.91,-11.309406905640015,0.012855450710048899,0.46142772535502447
1019,0.92,-11.309408627449663,0.0027560957678360865,0.46137804788391806
795,0.88,-11.309402195678812,0.04048194823553786,0.46024097411776893
534,0.92,-11.30940907915386,0.00010660369298420846,0.4600533018464921
708,0.92,-11.309409082882718,8.473190246149898e-05,0.46004236595123077
493,0.92,-11.309409088792622,5.0067086704075336e-05,0.46002503354335206
274,0.92,-11.309409090376189,4.0778599213808775e-05,0.4600203892996069
69,0.92,-11.30940909707409,1.491760485805571e-06,0.4600007458802429
897,0.92,-11.30940909730361,1.4549004845321178e-07,0.46000007274502425
520,0.92,-11.309409097320412,4.6944478526711464e-08,0.4600000234722393
719,0.92,-11.30940909732134,4.1487510316073895e-08,0.4600000207437552
606,0.92,-11.309409097322284,3.595778252929449e-08,0.4600000179788913
900,0.92,-11.30940909732529,1.8335413187742233e-08,0.4600000091677066
1053,0.92,-11.309409097325709,1.5876139514148235e-08,0.4600000079380698
856,0.92,-11.309409097326066,1.3780663721263409e-08,0.4600000068903319
475,0.92,-11.309409097327642,4.540197551250458e-09,0.4600000022700988
804,0.92,-11.30940909732801,2.371962182223797e-09,0.4600000011859811
417,0.92,-11.309409097328412,1.4551915228366852e-11,0.460000000007276
545,0.92,-11.309409097328412,1.4551915228366852e-11,0.460000000007276
524,0.92,-11.309409097328414,0.0,0.46
599,0.92,-11.309409097328414,0.0,0.46
532,0.92,-11.309409097328414,0.0,0.46
463,0.92,-11.309409097328414,0.0,0.46
374,0.92,-11.309409097328414,0.0,0.46
979,0.92,-11.309409097328414,0.0,0.46
868,0.92,-11.309409097328414,0.0,0.46
889,0.92,-11.309409097328414,0.0,0.46
867,0.92,-11.309409097328414,0.0,0.46
572,0.92,-11.309409097328414,0.0,0.46
469,0.92,-11.309409097328414,0.0,0.46
641,0.92,-11.309409097328414,0.0,0.46
679,0.92,-11.309409097328414,0.0,0.46
1040,0.92,-11.309409097328414,0.0,0.46
998,0.92,-11.309409097328414,0.0,0.46
1079,0.92,-11.309409097328414,0.0,0.46
1011,0.92,-11.309409097328414,0.0,0.46
906,0.92,-11.309409097328414,0.0,0.46
755,0.92,-11.309409097328414,0.0,0.46
615,0.92,-11.309409097328414,0.0,0.46
479,0.92,-11.309409097328414,0.0,0.46
364,0.92,-11.309409097328414,0.0,0.46
416,0.92,-11.309409097328414,0.0,0.46
573,0.92,-11.309409097328414,0.0,0.46
66,0.92,-11.309409097328414,0.0,0.46
40,0.92,-11.309409097328414,0.0,0.46
253,0.92,-11.309409097328414,0.0,0.46
608,0.92,-11.309409097328414,0.0,0.46
427,0.76,-11.309382360538168,0.1568258925108239,0.45841294625541196
881,0.86,-11.309399651876356,0.05540274039958604,0.457701370199793
539,0.91,-11.309408202080816,0.005251116628642194,0.4576255583143211
176,0.87,-11.309401480471152,0.04467703218688257,0.4573385160934413
458,0.91,-11.309408420099858,0.003972315738792531,0.4569861578693963
796,0.9,-11.30940679096824,0.013528063369449228,0.4567640316847246
347,0.89,-11.309405220105685,0.022742031083907932,0.456371015541954
387,0.91,-11.309408704029178,0.002306915048393421,0.4561534575241967
858,0.91,-11.30940877340552,0.0018999848689418286,0.45594999243447093
1057,0.89,-11.309405466622495,0.021296075225109234,0.4556480376125546
642,0.91,-11.30940888862668,0.0012241497752256691,0.45561207488761285
230,0.91,-11.309408895133664,0.0011859827500302345,0.45559299137501513
1016,0.86,-11.309400381269205,0.05112445256963838,0.4555622262848192
494,0.91,-11.30940900308695,0.0005527777102543041,0.45527638885512717
283,0.89,-11.309405629600908,0.02034011772775557,0.4551700588638778
537,0.91,-11.309409049920868,0.0002780711802188307,0.45513903559010943
123,0.91,-11.309409073965062,0.00013703883450943977,0.45506851941725474
191,0.91,-11.309409075079454,0.00013050231791567057,0.45506525115895785
129,0.91,-11.309409076528375,0.00012200360652059317,0.4550610018032603
